algorithmName,terrainType,randomSeed,boardSize,numObjects,collectedDamon,returnedHome,objectsCollected,stepsTaken,runtime,estimationNoise,startingBattery,usedBattery,,,,,,,,,,,,,,,,
Genetic,Pure Random,7.88E+18,64,5,true,true,5,243,36614327500,0.3,102.4,52.7409899,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,7.88E+18,64,5,true,true,5,367,437600,0.3,102.4,74.0578849,,,,,,,,,,,,,,,,
Ants,Pure Random,7.88E+18,64,5,true,false,4,590,73672375200,0.3,102.4,102.3901864,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,2.54E+18,64,5,true,true,4,219,28981568300,0.3,51.2,48.85976106,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,2.54E+18,64,5,true,false,2,299,166200,0.3,51.2,50.97570754,,,,,,,,,,,,,,,,
Ants,Pure Random,2.54E+18,64,5,true,false,2,265,34148801200,0.3,51.2,51.10154096,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,1.21E+18,64,5,true,true,1,117,23587955400,0.3,25.6,24.35817821,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,1.21E+18,64,5,false,false,0,286,126400,0.3,25.6,25.56859712,,,,,,,,,,,,,,,,
Ants,Pure Random,1.21E+18,64,5,true,false,2,131,17268119100,0.3,25.6,25.53182888,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-3.81E+18,64,5,true,true,5,361,93037733200,0.4,409.6,79.65036488,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-3.81E+18,64,5,false,false,0,2665,1522900,0.4,409.6,409.5915135,,,,,,,,,,,,,,,,
Ants,Pure Random,-3.81E+18,64,5,true,false,4,727,1.13E+11,0.4,409.6,164.4653606,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.54E+18,64,5,true,true,5,295,1.11E+11,0.4,204.8,63.40757581,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.54E+18,64,5,false,false,0,1245,1397200,0.4,204.8,204.4011982,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.54E+18,64,5,true,true,5,711,1.59E+11,0.4,204.8,151.5684055,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.41E+18,64,5,true,true,5,287,1.19E+11,0.4,102.4,61.82416921,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.41E+18,64,5,true,true,0,407,599300,0.4,102.4,79.38370744,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.41E+18,64,5,true,false,5,496,89993071300,0.4,102.4,102.3651819,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.73E+18,64,5,true,true,2,203,49025422600,0.4,51.2,49.78084936,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.73E+18,64,5,true,true,0,107,210800,0.4,51.2,22.37347546,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.73E+18,64,5,true,false,0,226,39650394800,0.4,51.2,50.93170718,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,6.52E+18,64,5,false,true,0,103,20373146400,0.4,25.6,23.90157068,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,6.52E+18,64,5,false,false,0,161,101800,0.4,25.6,25.50168828,,,,,,,,,,,,,,,,
Ants,Pure Random,6.52E+18,64,5,false,false,0,110,17776042700,0.4,25.6,25.27452857,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-4.05E+17,64,5,true,true,5,341,1.00E+11,0.5,409.6,78.63230873,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-4.05E+17,64,5,true,true,5,335,437800,0.5,409.6,65.86248364,,,,,,,,,,,,,,,,
Ants,Pure Random,-4.05E+17,64,5,true,true,5,743,1.86E+11,0.5,409.6,165.8585791,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,2.04E+18,64,5,true,true,5,351,97206118100,0.5,204.8,80.81118629,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,2.04E+18,64,5,true,true,0,1029,1165800,0.5,204.8,176.189152,,,,,,,,,,,,,,,,
Ants,Pure Random,2.04E+18,64,5,true,true,5,885,1.97E+11,0.5,204.8,191.0890284,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-2.52E+18,64,5,true,true,5,285,1.15E+11,0.5,102.4,66.06690267,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-2.52E+18,64,5,true,true,5,395,527700,0.5,102.4,70.9079674,,,,,,,,,,,,,,,,
Ants,Pure Random,-2.52E+18,64,5,true,false,4,570,1.12E+11,0.5,102.4,102.3952485,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,6.03E+18,64,5,true,true,3,211,38129364400,0.5,51.2,49.6303671,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,6.03E+18,64,5,true,true,0,121,267500,0.5,51.2,23.17095973,,,,,,,,,,,,,,,,
Ants,Pure Random,6.03E+18,64,5,true,false,1,249,41878058500,0.5,51.2,51.14884273,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,8.62E+17,64,5,true,true,1,103,32089423600,0.5,25.6,22.96755135,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,8.62E+17,64,5,false,false,0,182,296800,0.5,25.6,25.54925385,,,,,,,,,,,,,,,,
Ants,Pure Random,8.62E+17,64,5,true,false,1,126,25390408700,0.5,25.6,25.53914093,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-6.54E+18,64,5,true,true,5,257,61622420400,0.6,409.6,60.18206887,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-6.54E+18,64,5,true,true,3,1849,1676500,0.6,409.6,382.3599796,,,,,,,,,,,,,,,,
Ants,Pure Random,-6.54E+18,64,5,true,true,5,897,1.90E+11,0.6,409.6,192.1015625,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,8.00E+18,64,5,true,true,5,383,91904214100,0.6,204.8,88.01871433,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,8.00E+18,64,5,true,true,2,753,1103000,0.6,204.8,177.8148433,,,,,,,,,,,,,,,,
